동별(1),동별(2),동별(3),2019,2020,2021,2022,2023
동별(1),동별(2),동별(3),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢)
합계,강서구,방화2동,3752,3657,3690,3646,3585
합계,강서구,방화3동,10280,9246,8990,8841,8671
합계,강서구,화곡1동,48716,47661,47116,47006,46242
합계,강서구,우장산동,32947,32343,31713,31532,32313
합계,구로구,소계,21837,21496,20933,20794,20656
합계,구로구,신도림동,25298,24826,24722,24584,24703
합계,구로구,구로1동,21664,21208,20751,20525,20299
합계,구로구,구로3동,25775,25218,24664,24564,24558
합계,구로구,구로4동,56998,54415,51620,50113,49037
합계,구로구,구로5동,32452,31397,30895,30816,30796
합계,구로구,고척1동,20847,20299,19532,22100,23009
합계,구로구,고척2동,28382,27307,26561,26036,25735
합계,구로구,개봉2동,41295,40273,39143,38331,37698
합계,구로구,개봉3동,27167,26277,25420,25001,24673
합계,구로구,오류1동,39483,39593,39246,39197,39598
합계,구로구,수궁동,9322,9100,8916,8739,8655
합계,구로구,가리봉동,38125,35658,32728,31633,31145
합계,구로구,구로2동,20005,18778,17707,17098,16488
합계,구로구,개봉1동,25828,26900,26382,26034,25883
합계,구로구,오류2동,11630,12423,12196,12040,11840
합계,구로구,항동,11770,11717,11769,11822,11771
합계,금천구,소계,19341,19035,18808,18649,18517
합계,금천구,가산동,9704,10307,10388,10543,10775
합계,금천구,독산1동,20976,21144,22344,22762,23007
합계,금천구,독산2동,35675,34443,33625,32603,31920
합계,금천구,독산3동,32517,31016,29995,29608,29242
합계,금천구,독산4동,30893,29600,28437,27851,27322
합계,금천구,시흥1동,21465,20925,20195,19915,19760
합계,금천구,시흥2동,17983,17533,16945,16533,16418
합계,금천구,시흥3동,10770,10547,10235,10001,9716
합계,금천구,시흥4동,25536,24736,24041,23694,23056
합계,금천구,시흥5동,15016,14624,14183,13843,13498
합계,영등포구,소계,16334,16595,16331,16215,16203
합계,영등포구,여의동,4119,4103,3979,3919,4013
합계,영등포구,당산1동,28699,28263,27531,27653,28557
합계,영등포구,당산2동,23435,24523,24459,23937,23944
합계,영등포구,양평1동,20753,20116,21008,21255,20934
합계,영등포구,양평2동,7601,7534,7500,7528,7586
합계,영등포구,신길1동,29924,29041,28417,31035,31292
합계,영등포구,신길3동,36013,34781,33798,33233,32617
합계,영등포구,신길4동,28529,34142,34445,34253,33997
합계,영등포구,신길5동,22702,26587,24896,23855,23217
합계,영등포구,신길6동,28579,29340,30568,30143,28260
합계,영등포구,신길7동,26680,32022,31497,31092,31227
합계,영등포구,대림1동,33331,36227,34831,33686,32988
합계,영등포구,대림2동,38855,35956,33022,31860,31955
합계,영등포구,대림3동,30145,28393,27238,26532,26344
합계,영등포구,영등포본동,24326,23324,22698,22269,22094
합계,영등포구,영등포동,21560,22817,23731,24175,24931
합계,영등포구,도림동,24216,23219,22276,22022,21933
합계,영등포구,문래동,21452,22415,22021,21839,21706
합계,동작구,소계,25003,24555,24113,23870,23826
합계,동작구,노량진2동,21545,21113,18047,17553,17305
합계,동작구,상도1동,31889,31020,30123,30574,30762
합계,동작구,상도2동,29867,28737,28941,28553,28390
합계,동작구,상도3동,43402,42360,41410,40760,40495
합계,동작구,상도4동,39857,39075,38552,38085,37401
합계,동작구,사당1동,30413,29914,29520,29125,29124
합계,동작구,사당3동,28298,27439,26683,26292,26022
합계,동작구,사당4동,39266,38418,37634,37329,36861
합계,동작구,사당5동,22607,25984,25540,25323,25033
합계,동작구,대방동,25921,25272,24734,23907,23219
합계,동작구,신대방1동,42902,41650,40321,40513,40484
합계,동작구,신대방2동,20116,19870,20781,21791,21632
합계,동작구,흑석동,21161,20562,19817,18270,19185
합계,동작구,노량진1동,20609,20498,20442,20325,20706
합계,동작구,사당2동,10287,10057,10235,10468,10356
합계,관악구,소계,17496,17241,16891,16951,16838
합계,관악구,보라매동,34863,33261,32787,32447,31937
합계,관악구,청림동,54287,52370,50713,50017,49427
합계,관악구,행운동,41751,41388,40851,41161,40858
합계,관악구,낙성대동,7763,7744,7680,7898,7869
합계,관악구,중앙동,40756,40405,39710,40218,39928
합계,관악구,인헌동,25081,24537,24217,24184,23934
합계,관악구,남현동,5804,5687,5588,5554,5470
합계,관악구,서원동,37028,36254,35812,36171,36446
합계,관악구,신원동,35895,35073,33955,33855,33453
합계,관악구,서림동,24585,24657,23928,24607,24842
합계,관악구,신사동,40563,39728,38809,38623,38147
합계,관악구,신림동,41713,41976,42830,44217,44013
합계,관악구,난향동,20493,19894,19275,18813,18574
합계,관악구,조원동,29222,28704,28039,30582,31458
합계,관악구,대학동,2947,3001,3003,3169,3264
합계,관악구,은천동,45304,44353,43117,42508,42182
합계,관악구,성현동,45846,44812,43226,42397,41854
합계,관악구,청룡동,29186,30784,30917,31468,31247
합계,관악구,난곡동,30117,29223,28350,27791,26882
합계,관악구,삼성동,9483,8998,8286,7760,7568
합계,관악구,미성동,23733,23034,22504,22219,21832
합계,서초구,소계,9261,9132,8858,8696,8774
합계,서초구,서초1동,15196,14920,14585,14523,14332
합계,서초구,서초2동,15191,17525,21448,21719,20274
합계,서초구,서초3동,10563,11026,11184,11051,11053
합계,서초구,서초4동,36350,36043,35328,34683,34725
합계,서초구,잠원동,19961,16211,15310,14996,15349
합계,서초구,반포본동,12069,11872,1980,289,239
합계,서초구,반포1동,33237,32630,34815,34443,34190
합계,서초구,반포2동,12137,12030,11704,11661,17360
합계,서초구,반포3동,15930,17509,17379,17791,18629
합계,서초구,반포4동,14148,13970,13851,13627,13447
합계,서초구,방배본동,32216,31781,31467,31012,30709
합계,서초구,방배1동,25034,24830,24257,24119,23777
합계,서초구,방배2동,10859,10572,10090,9613,9415
합계,서초구,방배3동,9356,8934,7859,7217,6691
합계,서초구,방배4동,24574,24527,24303,23907,23580
합계,서초구,양재1동,7976,7793,7536,7410,7349
합계,서초구,양재2동,3056,2996,2921,2872,2842
합계,서초구,내곡동,1457,1431,1390,1377,1361
합계,강남구,소계,13929,13773,13616,13522,13932
합계,강남구,신사동,9284,8949,8578,8400,8297
합계,강남구,개포3동,13821,13821,13821,14018,13624
합계,강남구,논현1동,19034,18987,18162,17664,17407
합계,강남구,논현2동,14901,14964,14511,14159,14132
합계,강남구,삼성1동,7691,7010,6771,6566,6384
합계,강남구,삼성2동,24737,24490,24752,25050,24910
합계,강남구,대치1동,32028,31547,30632,30185,30296
합계,강남구,대치4동,28523,28416,27505,26700,25930
합계,강남구,역삼1동,15746,15647,15570,15130,15032
합계,강남구,역삼2동,32466,32427,31633,32408,31955
합계,강남구,도곡1동,22182,21791,21117,20857,20295
합계,강남구,도곡2동,33762,33375,32609,32202,32096
합계,강남구,개포1동,5449,5252,5109,5450,9376
합계,강남구,개포4동,12352,15279,16020,15865,15694
합계,강남구,일원본동,9457,9281,9028,8921,8850
합계,강남구,일원1동,17867,17203,16537,16290,15990
합계,강남구,일원2동,14645,14281,14181,14369,14369
합계,강남구,수서동,11143,10699,10399,10071,9853
합계,강남구,세곡동,7086,6993,6823,6821,7189
합계,강남구,압구정동,10953,10846,10453,10238,10180
합계,강남구,청담동,12927,11702,11121,10939,10688
합계,강남구,대치2동,19324,18876,18332,18549,19209
합계,강남구,개포2동,8784,8883,11133,11567,16655
합계,송파구,소계,20156,19896,19599,19616,19483
합계,송파구,풍납1동,20153,18942,17469,16766,15956
합계,송파구,풍납2동,15904,16165,15694,15362,15043
합계,송파구,거여1동,25924,25641,24733,24029,23725
합계,송파구,거여2동,31926,36472,35483,44802,44628
합계,송파구,마천1동,35800,34326,32881,32100,31271
합계,송파구,마천2동,22744,22156,21198,20393,19936
합계,송파구,방이1동,33048,32596,31532,30920,30462
합계,송파구,방이2동,32555,33344,33769,32943,33541
합계,송파구,오륜동,5951,5834,5703,5616,5621
합계,송파구,오금동,24889,24041,23427,23053,22830
합계,송파구,송파1동,32944,31886,30603,30390,29942
합계,송파구,송파2동,39362,39245,36383,35749,35234
합계,송파구,석촌동,36115,34912,33862,33265,32982
합계,송파구,삼전동,34329,33515,32311,31486,31001
합계,송파구,가락본동,24669,24219,23472,22905,22557
합계,송파구,가락1동,20684,20803,20422,20538,20651
합계,송파구,가락2동,35333,34588,33756,32990,32694
합계,송파구,문정1동,38038,37264,36068,35564,35130
합계,송파구,문정2동,13621,13430,13215,13110,13169
합계,송파구,잠실본동,31519,30950,30254,30168,30106
합계,송파구,잠실4동,14256,13973,13703,13604,13635
합계,송파구,잠실6동,6251,6224,6059,5990,5970
합계,송파구,잠실7동,16985,16505,15940,15712,15723
합계,송파구,잠실2동,16885,16613,16122,15998,16057
합계,송파구,잠실3동,24187,23823,23138,22915,22784
합계,송파구,장지동,24128,22168,21674,21242,20928
합계,송파구,위례동,11096,11908,15375,17495,17665
합계,강동구,소계,17909,18869,18970,18871,18841
합계,강동구,강일동,11474,12778,12126,12126,12126
합계,강동구,상일동,4065,12583,8324,8324,8324
합계,강동구,명일1동,43866,43241,42526,42034,41611
합계,강동구,명일2동,18328,18098,18111,17863,17630
합계,강동구,고덕1동,15653,15088,16170,15840,15940
합계,강동구,고덕2동,9624,11228,8932,9106,9177
합계,강동구,암사2동,12520,13142,12925,12770,12669
합계,강동구,암사3동,7447,7339,7150,6965,6861
합계,강동구,천호1동,40000,39077,37990,37563,36993
합계,강동구,천호3동,35438,34285,34177,33771,33594
합계,강동구,성내1동,35450,35091,34560,34310,33693
합계,강동구,성내2동,37591,37236,35979,35116,35918
합계,강동구,성내3동,33692,33369,32882,32494,32073
합계,강동구,둔촌1동,308,285,157,79,66
합계,강동구,둔촌2동,28318,26952,15888,15562,15652
합계,강동구,암사1동,35974,35027,34100,33599,33348
합계,강동구,천호2동,22869,22453,21499,21545,21290
합계,강동구,길동,21367,21598,28555,28183,27976
합계,강동구,강일동,14797,14797,14594,14627,15169
합계,강동구,상일1동,21529,21529,21390,21526,21670
합계,강동구,상일2동,10373,10373,9358,10948,10813
