동별(1),동별(2),동별(3),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
동별(1),동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
합계,광진구,능동,11978,1.1,10889,11913,1.1,10830,11619,1.1,10563,11561,1.1,10510,11496,1.1,10451
합계,광진구,구의1동,23063,0.56,41184,22700,0.56,40536,22139,0.56,39534,24049,0.56,42945,23833,0.56,42559
합계,광진구,구의2동,27902,1.39,20073,27444,1.39,19744,27008,1.39,19430,26573,1.39,19117,26230,1.39,18871
합계,광진구,구의3동,30094,1.02,29504,29588,1.02,29008,28891,1.02,28325,28440,1.02,27882,28072,1.02,27522
합계,광진구,광장동,36083,2.39,15097,35619,2.39,14903,34834,2.39,14575,34362,2.39,14377,34210,2.39,14314
합계,광진구,자양1동,24156,0.57,42379,23710,0.57,41596,23134,0.57,40586,22709,0.57,39840,22745,0.57,39904
합계,광진구,자양2동,26893,1.68,16008,26016,1.68,15486,24930,1.68,14839,24253,1.68,14436,23949,1.68,14255
합계,광진구,자양3동,29475,1.2,24563,28957,1.2,24131,28330,1.2,23608,27858,1.2,23215,27543,1.2,22953
합계,광진구,자양4동,23000,1.16,19828,21526,1.16,18557,21296,1.16,18359,21260,1.16,18328,23405,1.16,20177
합계,동대문구,소계,363023,14.22,25537,357014,14.22,25114,352006,14.22,24762,353601,14.22,24873,359873,14.22,25315
합계,동대문구,회기동,13114,0.76,17255,12663,0.76,16662,12727,0.76,16746,13536,0.76,17811,13653,0.76,17964
합계,동대문구,휘경1동,16508,0.63,26203,15362,0.63,24384,16105,0.63,25563,16339,0.63,25935,16179,0.63,25681
합계,동대문구,휘경2동,25068,1.05,23874,24992,1.05,23802,24847,1.05,23664,24666,1.05,23491,25163,1.05,23965
합계,동대문구,청량리동,21808,1.2,18173,20432,1.2,17027,19280,1.2,16067,19094,1.2,15912,19347,1.2,16123
