"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241120","7호선","반포","7353","7040","20241123"
"20241120","5호선","발산","26400","26605","20241123"
"20241120","2호선","방배","21260","21941","20241123"
"20241120","5호선","방이","8499","8794","20241123"
"20241120","경원선","방학","10743","10404","20241123"
"20241120","5호선","방화","7818","7501","20241123"
"20241120","장항선","배방","1339","1271","20241123"
"20241120","경의선","백마","7941","7969","20241123"
"20241120","일산선","백석","10696","10961","20241123"
"20241120","경춘선","백양리","58","56","20241123"
"20241120","경인선","백운","8021","7718","20241123"
"20241120","6호선","버티고개","2603","2545","20241123"
"20241120","과천선","범계","30571","30856","20241123"
"20241120","경춘선","별내","2752","2519","20241123"
"20241120","경부선","병점","18050","17965","20241123"
"20241120","7호선","보라매","7376","7745","20241123"
"20241120","신림선","보라매","4914","4471","20241123"
"20241120","신림선","보라매공원","2591","2850","20241123"
"20241120","신림선","보라매병원","9062","9315","20241123"
"20241120","우이신설선","보문","1844","1818","20241123"
"20241120","6호선","보문","9170","8579","20241123"
"20241120","경원선","보산","1454","1416","20241123"
"20241120","분당선","보정","2869","2717","20241123"
"20241120","8호선","복정","11497","9786","20241123"
"20241120","분당선","복정","3","0","20241123"
"20241120","장항선","봉명","1450","1483","20241123"
"20241120","9호선2~3단계","봉은사","26723","28082","20241123"
"20241120","2호선","봉천","27081","25374","20241123"
"20241120","6호선","봉화산(서울의료원)","10158","9324","20241123"
"20241120","경인선","부개","9189","8674","20241123"
"20241120","경강선","부발","2554","2440","20241123"
"20241120","경인선","부천","33085","33049","20241123"
"20241120","서해선","부천종합운동장","3071","2592","20241123"
"20241120","경인선","부평","29048","30688","20241123"
"20241120","우이신설선","북한산보국문","7121","6766","20241123"
"20241120","우이신설선","북한산우이","3201","2909","20241123"
"20241120","3호선","불광","18297","19759","20241123"
"20241120","6호선","불광","5352","5282","20241123"
"20241120","7호선","사가정","17863","18708","20241123"
"20241120","2호선","사당","45385","49400","20241123"
"20241120","4호선","사당","29198","25702","20241123"
"20241120","경춘선","사릉","2405","2355","20241123"
"20241120","수인선","사리","5521","4894","20241123"
"20241120","9호선","사평","4802","4520","20241123"
"20241120","안산선","산본","17593","18473","20241123"
"20241120","8호선","산성","7091","7173","20241123"
"20241120","4호선","삼각지","6871","7744","20241123"
"20241120","6호선","삼각지","8781","8016","20241123"
"20241120","경강선","삼동","2943","2654","20241123"
"20241120","2호선","삼성(무역센터)","65802","66583","20241123"
"20241120","9호선2~3단계","삼성중앙","9505","9816","20241123"
"20241120","일산선","삼송","20823","20378","20241123"
"20241120","우이신설선","삼양","2510","2599","20241123"
"20241120","우이신설선","삼양사거리","2930","2918","20241123"
"20241120","9호선2~3단계","삼전","9099","8779","20241123"
"20241120","분당선","상갈","6068","5722","20241123"
"20241120","4호선","상계","21912","20562","20241123"
"20241120","7호선","상도","14338","14240","20241123"
"20241120","안산선","상록수","17085","17481","20241123"
"20241120","중앙선","상봉","6290","6327","20241123"
"20241120","7호선","상봉","19360","18875","20241123"
"20241120","6호선","상수","10871","11929","20241123"
"20241120","2호선","상왕십리","16300","16107","20241123"
"20241120","6호선","상월곡(한국과학기술연구원)","7365","6550","20241123"
"20241120","5호선","상일동","17214","16174","20241123"
"20241120","경춘선","상천","226","234","20241123"
"20241120","6호선","새절(신사)","14617","13905","20241123"
"20241120","신림선","샛강","3442","4072","20241123"
"20241120","9호선","샛강","7827","8010","20241123"
"20241120","경의선","서강대","2512","2493","20241123"
"20241120","5호선","서대문","24596","24343","20241123"
"20241120","경부선","서동탄","1586","1323","20241123"
"20241120","경원선","서빙고","2517","2380","20241123"
"20241120","신림선","서울대벤처타운","10426","9740","20241123"
"20241120","2호선","서울대입구(관악구청)","51674","49984","20241123"
"20241120","분당선","서울숲","12857","12783","20241123"
"20241120","경의선","서울역","5031","6127","20241123"
"20241120","1호선","서울역","60063","53137","20241123"
"20241120","공항철도 1호선","서울역","13161","11254","20241123"
"20241120","경부선","서울역","8448","3195","20241123"
"20241120","4호선","서울역","16156","24332","20241123"
"20241120","신림선","서울지방병무청","3465","3780","20241123"
"20241120","신림선","서원","3896","3372","20241123"
"20241120","경부선","서정리","8933","8383","20241123"
"20241120","2호선","서초","25377","24873","20241123"
"20241120","분당선","서현","25303","26197","20241123"
"20241120","6호선","석계","14243","14576","20241123"
"20241120","경원선","석계","7871","8941","20241123"
"20241120","경부선","석수","9200","8579","20241123"
"20241120","9호선2~3단계","석촌","10486","9515","20241123"
"20241120","8호선","석촌","9479","10654","20241123"
"20241120","9호선2~3단계","석촌고분","8003","7776","20241123"
"20241120","2호선","선릉","68490","61083","20241123"
"20241120","분당선","선릉","14098","20872","20241123"
"20241120","과천선","선바위","8431","7503","20241123"
"20241120","9호선","선유도","10267","9602","20241123"
"20241120","분당선","선정릉","8085","8539","20241123"
"20241120","9호선2~3단계","선정릉","12093","13152","20241123"
"20241120","경부선","성균관대","17470","17018","20241123"
"20241120","경강선","성남","1173","1049","20241123"
"20241120","2호선","성수","48636","52637","20241123"
"20241120","4호선","성신여대입구(돈암)","25388","24180","20241123"
"20241120","우이신설선","성신여대입구(돈암)","4047","4358","20241123"
"20241120","경부선","성환","6982","6629","20241123"
"20241120","경부선","세류","3677","3397","20241123"
"20241120","경부선","세마","3685","3444","20241123"
"20241120","경강선","세종대왕릉","311","316","20241123"
"20241120","수인선","소래포구","5596","5138","20241123"
"20241120","경인선","소사","8194","8065","20241123"
"20241120","경원선","소요산","1365","1356","20241123"
"20241120","우이신설선","솔밭공원","2930","2832","20241123"
"20241120","우이신설선","솔샘","6925","6465","20241123"
"20241120","경인선","송내","28796","28398","20241123"
"20241120","수인선","송도","2628","2373","20241123"
"20241120","5호선","송정","7023","6526","20241123"
"20241120","경부선","송탄","4473","4364","20241123"
"20241120","8호선","송파","10767","10836","20241123"
"20241120","9호선2~3단계","송파나루","6121","6458","20241123"
"20241120","분당선","수내","15051","15333","20241123"
"20241120","7호선","수락산","13732","13544","20241123"
"20241120","안산선","수리산","4567","3779","20241123"
"20241120","경의선","수색","3431","3592","20241123"
