station_name,line,gu,dong,gu_dong
남태령,4호선,서초구,방배2동,서초구_방배2동
방배,2호선,서초구,방배3동,서초구_방배3동
,,서초구,방배4동,서초구_방배4동
,,서초구,방배본동,서초구_방배본동
교대(법원.검찰청),2호선,서초구,서초1동,서초구_서초1동
강남,신분당선,서초구,서초2동,서초구_서초2동
양재(서초구청),3호선,서초구,서초2동,서초구_서초2동
남부터미널(예술의전당),3호선,서초구,서초3동,서초구_서초3동
교대(법원.검찰청),3호선,서초구,서초3동,서초구_서초3동
서초,2호선,서초구,서초3동,서초구_서초3동
,,서초구,서초4동,서초구_서초4동
양재(서초구청),신분당선,서초구,양재1동,서초구_양재1동
양재시민의숲(매헌),신분당선,서초구,양재2동,서초구_양재2동
잠원,3호선,서초구,잠원동,서초구_잠원동
신금호,5호선,성동구,금호1가동,성동구_금호1가동
,,성동구,금호2·3가동 ,성동구_금호2·3가동 
금호,3호선,성동구,금호4가동,성동구_금호4가동
마장,5호선,성동구,마장동,성동구_마장동
용답,2호선,성동구,사근동,성동구_사근동
한양대,2호선,성동구,사근동,성동구_사근동
서울숲,분당선,성동구,성수1가1동,성동구_성수1가1동
뚝섬,2호선,성동구,성수1가2동,성동구_성수1가2동
,,성동구,성수2가1동 ,성동구_성수2가1동 
성수,2호선,성동구,성수2가3동,성동구_성수2가3동
,,성동구,송정동,성동구_송정동
옥수,3호선,성동구,옥수동,성동구_옥수동
옥수,경원선,성동구,옥수동,성동구_옥수동
상왕십리,2호선,성동구,왕십리2동,성동구_왕십리2동
,,성동구,왕십리도선동,성동구_왕십리도선동
장한평,5호선,성동구,용답동,성동구_용답동
신답,2호선,성동구,용답동,성동구_용답동
답십리,5호선,성동구,용답동,성동구_용답동
응봉,경원선,성동구,응봉동,성동구_응봉동
왕십리(성동구청),경원선,성동구,행당1동,성동구_행당1동
왕십리(성동구청),5호선,성동구,행당1동,성동구_행당1동
왕십리(성동구청),2호선,성동구,행당1동,성동구_행당1동
행당,5호선,성동구,행당2동,성동구_행당2동
길음,4호선,성북구,길음1동,성북구_길음1동
,,성북구,길음2동,성북구_길음2동
,,성북구,돈암1동,성북구_돈암1동
,,성북구,돈암2동,성북구_돈암2동
,,성북구,동선동,성북구_동선동
보문,우이신설선,성북구,보문동,성북구_보문동
보문,6호선,성북구,보문동,성북구_보문동
성신여대입구(돈암),우이신설선,성북구,삼선동,성북구_삼선동
한성대입구(삼선교),4호선,성북구,삼선동,성북구_삼선동
성신여대입구(돈암),4호선,성북구,삼선동,성북구_삼선동
석계,경원선,성북구,석관동,성북구_석관동
석계,6호선,성북구,석관동,성북구_석관동
,,성북구,성북동,성북구_성북동
안암(고대병원앞),6호선,성북구,안암동,성북구_안암동
,,성북구,월곡1동,성북구_월곡1동
상월곡(한국과학기술연구원),6호선,성북구,월곡2동,성북구_월곡2동
월곡(동덕여대),6호선,성북구,월곡2동,성북구_월곡2동
,,성북구,장위1동,성북구_장위1동
돌곶이,6호선,성북구,장위2동,성북구_장위2동
,,성북구,장위3동,성북구_장위3동
정릉,우이신설선,성북구,정릉1동,성북구_정릉1동
,,성북구,정릉2동,성북구_정릉2동
,,성북구,정릉3동,성북구_정릉3동
북한산보국문,우이신설선,성북구,정릉4동,성북구_정릉4동
,,성북구,종암동,성북구_종암동
가락시장,3호선,송파구,가락1동,송파구_가락1동
송파,8호선,송파구,가락1동,송파구_가락1동
가락시장,8호선,송파구,가락1동,송파구_가락1동
경찰병원,3호선,송파구,가락2동,송파구_가락2동
개롱,5호선,송파구,가락2동,송파구_가락2동
오금,5호선,송파구,가락본동,송파구_가락본동
거여,5호선,송파구,거여1동,송파구_거여1동
,,송파구,거여2동,송파구_거여2동
마천,5호선,송파구,마천1동,송파구_마천1동
,,송파구,마천2동,송파구_마천2동
